country,year,pharma_imports
CAF,2023,48184971.391
CAF,2024,64474154.01
CAN,2014,12478392782.0
CAN,2015,11392031599.393
CAN,2016,11371468947.85
CAN,2017,11710909646.204
CAN,2018,12557534423.514
CAN,2019,13865504094.15
CAN,2020,14277029304.583
CAN,2021,18466624260.441
CAN,2022,20085731077.379
CAN,2023,18926370456.354
CAN,2024,18860043724.459
CHE,2014,23552691168.038
CHE,2015,21557332087.34
CHE,2016,24524195487.067
CHE,2017,28719167882.623
CHE,2018,29985885788.079
CHE,2019,31537140781.87
CHE,2020,38939997927.747
CHE,2021,42253867227.953
CHE,2022,48686064687.15
CHE,2023,58466414025.595
CHE,2024,67740608831.203
CHL,2014,1184192943.457
CHL,2015,1210697335.491
CHL,2016,1192075091.208
CHL,2017,1333232590.797
CHL,2018,1538513903.243
CHL,2019,1646349087.807
CHL,2020,1736599155.992
CHL,2021,2463265355.748
CHL,2022,2322424750.131
CHL,2023,2248670420.426
CHL,2024,2358948244.716
CHN,2014,17752094502.0
CHN,2015,19226077793.0
CHN,2016,20771374390.0
CHN,2017,25364914055.0
CHN,2018,27931121390.0
CHN,2019,33605325868.0
CHN,2020,34915064567.0
CHN,2021,41862452119.0
CHN,2022,39908669697.0
CHN,2023,43076716948.0
CHN,2024,42354718174.0
CIV,2014,385769625.788
CIV,2015,296792915.98
CIV,2016,416443423.741
CIV,2017,345240419.672
CIV,2018,384801309.633
CIV,2019,370369682.747
CIV,2020,399642987.99
CIV,2021,494476820.396
CIV,2022,481674079.916
CIV,2023,478116835.236
CIV,2024,531106953.547
CMR,2014,240126285.0
CMR,2015,220367668.0
CMR,2016,185362172.0
CMR,2017,226878918.084
CMR,2018,239446096.42
CMR,2019,219559267.487
CMR,2020,231390019.42
CMR,2021,339232048.88
CMR,2022,268051965.84
CMR,2023,276995424.661
COD,2015,311640841.309
COD,2016,319631878.627
COD,2017,194538960.369
COD,2018,211014471.777
COD,2019,510107269.432
COD,2020,171533439.557
COD,2021,261589929.298
COD,2022,237187286.8
COD,2023,301927234.68
COG,2014,89986048.24
COG,2015,78809905.242
COG,2016,69404291.616
COG,2017,65205615.15
COG,2018,66655102.317
COG,2019,67053911.59
COG,2020,69171743.26
COG,2021,80852074.75
COG,2022,84384290.513
COG,2023,78429085.263
COL,2014,2382078918.0
COL,2015,2332117673.0
COL,2016,2108504020.0
COL,2017,2191162239.07
COL,2018,2394105174.75
COL,2019,2658625325.99
COL,2020,2505360921.44
COL,2021,3914477010.35
COL,2022,3510865200.62
COL,2023,3659663545.93
COL,2024,3855610294.05
COM,2014,3949162.924
COM,2015,7366521.693
COM,2016,2111475.859
COM,2017,3165918.9
COM,2018,3436805.839
COM,2019,2763416.325
COM,2020,4348799.858
COM,2021,3824084.63
COM,2022,3580848.554
COM,2023,4285838.496
CPV,2014,10387309.983
CPV,2015,7739627.378
CPV,2016,9730222.0
CPV,2017,10600426.435
CPV,2018,12441884.52
CPV,2019,13840747.557
CPV,2020,11583827.136
CPV,2021,16363282.748
CPV,2022,14006201.761
CPV,2023,15571832.958
CPV,2024,18548168.216
CRI,2014,629955459.0
CRI,2015,671207049.0
CRI,2016,718560592.0
CRI,2017,809971235.755
CRI,2018,776942194.44
CRI,2019,818632177.83
CRI,2020,845922445.55
CRI,2021,905026950.27
CRI,2022,1028252678.879
CRI,2023,1037178242.36
CRI,2024,1122112894.2
CUB,2016,128085317.33
CUB,2017,141092722.73
CUB,2018,146963310.26
CUB,2019,139052143.49
CUB,2020,113087472.8
CUB,2021,124508368.6
CUB,2022,134337000.0
CUW,2017,54214465.742
CUW,2018,56020955.564
CUW,2019,54629392.869
CUW,2020,53591096.418
CYM,2015,7461708.0
CYM,2020,24613539.4
CYM,2021,32464135.548
CYM,2022,36244041.212
CYM,2023,38706890.046
CYM,2024,37246898.538
CYP,2014,253389326.643
CYP,2015,209441305.562
CYP,2016,217807760.635
CYP,2017,241747222.054
CYP,2018,278467296.322
CYP,2019,310018181.476
CYP,2020,370370747.93
CYP,2021,400048098.999
CYP,2022,425981856.005
CYP,2023,511058693.818
CYP,2024,551066109.606
CZE,2014,4522249182.0
CZE,2015,4022002530.0
CZE,2016,4173179588.0
CZE,2017,4542347389.0
CZE,2018,5159320377.0
CZE,2019,5445414877.0
CZE,2020,5943348127.0
CZE,2021,7309000528.0
CZE,2022,7043096824.0
CZE,2023,7438791209.0
CZE,2024,7886589924.0
DEU,2014,49293262755.467
DEU,2015,45670789181.666
DEU,2016,48746257753.984
DEU,2017,51815491708.927
DEU,2018,58019211973.751
DEU,2019,59494712248.813
DEU,2020,67148114627.369
DEU,2021,80659697653.327
DEU,2022,82072904439.491
DEU,2023,75490736637.068
DEU,2024,76398347864.045
DJI,2021,31307443.419
DJI,2022,28055358.829
DJI,2023,26856135.347
DMA,2016,2526629.325
DMA,2017,2505860.275
DMA,2018,2423134.305
DMA,2019,3394829.839
DMA,2020,3347088.134
DMA,2021,3551737.559
DMA,2022,4015448.577
DMA,2023,5282570.273
DNK,2014,4649977744.0
DNK,2015,3809358942.0
DNK,2016,3773258488.527
DNK,2017,4098352034.436
DNK,2018,4482448337.354
DNK,2019,4453453302.416
DNK,2020,5333087423.098
DNK,2021,6676981903.576
DNK,2022,5451087916.057
DNK,2023,5493107113.391
DNK,2024,6759334826.015
DOM,2014,545021468.857
DOM,2015,574706230.263
DOM,2016,630658158.691
DOM,2017,620043394.347
DOM,2018,621708851.507
DOM,2019,681627083.681
DOM,2020,696432019.391
DOM,2021,2261506294.443
DOM,2022,911771955.439
DOM,2023,1054120857.751
DOM,2024,1013110797.482
DZA,2014,2523522689.0
DZA,2015,1977650358.0
DZA,2016,2022699503.0
DZA,2017,1892866531.15
ECU,2014,1086356201.0
ECU,2015,1096291263.0
ECU,2016,946395244.0
ECU,2017,990707897.48
ECU,2018,981881233.29
ECU,2019,969360394.872
ECU,2020,1055140589.76
ECU,2021,1479241121.481
ECU,2022,1299103431.6
ECU,2023,1331742280.5
ECU,2024,1189366360.49
EGY,2014,1889132452.0
EGY,2015,2262318758.304
EGY,2016,2220700272.132
EGY,2017,2195168117.042
EGY,2018,2308502380.169
EGY,2019,2546425490.658
EGY,2020,2820119337.479
EGY,2021,4036013130.794
EGY,2022,3844145935.913
EGY,2023,3636312527.408
EGY,2024,3520865678.086
ESP,2014,15384944517.572
ESP,2015,14676848300.5
ESP,2016,13918349458.626
ESP,2017,14141498392.313
ESP,2018,15790757801.475
ESP,2019,15688985919.112
ESP,2020,16931502446.749
ESP,2021,24675679542.725
ESP,2022,23785068045.046
ESP,2023,22431620037.92
ESP,2024,22719644764.551
EST,2014,445566161.0
EST,2015,404845591.0
EST,2016,469832183.409
EST,2017,495167979.797
EST,2018,585191746.846
EST,2019,579545383.628
EST,2020,639103926.35
EST,2021,786830629.27
EST,2022,759750737.41
EST,2023,804233082.04
EST,2024,890232449.46
ETH,2014,383629557.513
ETH,2015,606481896.9
ETH,2016,667115752.662
ETH,2017,545759811.609
ETH,2018,690650884.117
ETH,2019,636669874.96
ETH,2020,578780072.4
ETH,2021,812070680.41
ETH,2022,786745995.306
ETH,2023,676698910.518
FIN,2014,2458187708.0
FIN,2015,2198839844.0
FIN,2016,2166499428.0
FIN,2017,2115022704.053
FIN,2018,2293094850.319
FIN,2019,2194399881.123
FIN,2020,2377431137.704
FIN,2021,2674859835.007
FIN,2022,2573210956.451
FIN,2023,2576139030.56
FIN,2024,2558992984.086
FJI,2014,32846023.0
FJI,2015,23765372.361
FJI,2016,28586772.823
FJI,2017,31908514.354
FJI,2018,34557013.694
FJI,2019,30084593.989
FJI,2020,33147385.681
FJI,2021,47756639.004
FJI,2022,49093934.247
FJI,2023,47455634.211
FJI,2024,36793937.947
FRA,2014,27851925845.0
FRA,2015,22194409035.0
FRA,2016,22067812927.0
FRA,2017,23117658808.649
FRA,2018,25246928632.178
FRA,2019,25187821943.168
FRA,2020,30677734161.011
FRA,2021,34029526415.017
FRA,2022,32580780153.524
FRA,2023,36607397772.438
FRA,2024,33070488569.112
GAB,2014,104254477.31
GAB,2015,79889764.487
GAB,2016,106666571.24
GAB,2017,89516719.145
GAB,2018,97453993.255
GAB,2019,91194536.951
GAB,2020,99261627.428
