country,year,pharma_imports,fuel_imports,oil_exports,conflict_incidence,conflict_intensity,regime_score,leader_change,gdp_growth,inflation,unemployment
BHS,1999.0,16279478.0,173507104.0,36940504.0,,,,,7.14410390677141,1.2542482602363,7.45
BHS,2000.0,22572915.0,208380127.0,83035029.0,,,,,4.14841930754267,1.60632941740579,7.118
BHS,2001.0,31053209.0,294261698.0,68856900.0,,,,,2.62600982683425,2.04498977505121,6.87
BHS,2002.0,47990421.0,239866895.0,90584115.0,,,,,2.70495624731029,2.17357792508093,9.05
BHS,2003.0,45728435.0,258266925.0,24478282.0,,,,,-1.26491667612372,3.02504526252236,10.84
BHS,2004.0,32553299.0,287529954.0,37744750.0,,,,,0.882373744518318,0.981914036757662,10.2
BHS,2005.0,39297630.0,509246445.0,,,,,,3.39608420536011,1.59160618079802,10.2
BHS,2006.0,37709458.0,608348470.0,92997040.0,,,,,2.51659221712706,2.38982627439254,7.54
BHS,2007.0,36524759.0,619525434.0,167600275.0,,,,,1.44609991235758,2.49257794939396,7.88
BHS,2008.0,35367727.0,851940522.0,141527413.0,,,,,-2.32364807041851,4.4895599537506,8.18
BHS,2009.0,40505046.0,560102621.0,112076642.0,,,,,-4.17542805647342,2.06273473452682,14.25
BHS,2010.0,86912048.0,689441260.0,159707406.0,,,,,1.53866248693835,1.34402738392836,14.435
BHS,2011.0,75204978.0,932373933.0,216131204.0,,,,,0.613170735890648,3.1987814166032,14.52
BHS,2012.0,52729789.0,882290343.0,319713140.0,,,,,4.52003886739061,1.97336755976254,14.02
BHS,2013.0,50673481.0,729198340.0,237808279.0,,,,,-2.86320081549439,0.722414784530551,16.18
BHS,2014.0,53099495.0,870644247.0,165336142.0,,,,,1.8469701294558,1.51375643050831,13.8
BHS,2015.0,55080200.0,537756257.0,70349936.0,,,,,0.997411675486745,1.86148302863371,12.0
BHS,2016.0,54740635.0,404067137.0,45509839.0,,,,,-1.15650811269629,-0.346376929989397,12.7
BHS,2017.0,55386823.58,555972311.67,72693619.48,,,,,3.3713988456489,1.51820700736147,9.8
BHS,2018.0,55555982.19,585207011.51,101558288.42,,,,,2.39795510823548,2.26586346678736,10.0
BHS,2019.0,43968400.267,772186751.817,79403390.761,,,,,-0.838585871193203,2.49123527368046,9.336
BHS,2020.0,43905191.0,387545117.0,96324390.0,,,,,-20.0893664891399,0.0385210980054558,12.016
BHS,2021.0,59458950.0,660132173.0,184573156.0,,,,,17.5861390037409,2.90491262928478,11.078
BHS,2022.0,66977408.0,606358020.0,161075838.0,,,,,10.8779009410268,5.60540633583044,9.25
BHS,2023.0,70162788.0,627493245.0,172604125.0,,,,,3.04824180553773,3.05291578969743,8.645
BHS,2024.0,69283663.0,810241763.0,361610502.0,,,,,3.37866553336166,0.409162489083286,9.049
BIH,1995.0,,,,,,,0.0,15.9683009584782,,20.944
BIH,1996.0,,,,1.0,1.0,,0.0,54.1993001671131,,21.682
BIH,1997.0,,,,,,,0.0,36.641128467034,,22.586
BIH,1998.0,,,,,,,0.0,16.6163744979847,,23.494
BIH,1999.0,,,,,,,0.0,9.52157018578967,,24.441
BIH,2000.0,,,,,,,0.0,5.41431594987505,,25.446
BIH,2001.0,,,,,,,0.0,2.42331317180992,,26.485
BIH,2002.0,,,,,,,0.0,5.027444647203,,27.477
BIH,2003.0,76452811.0,256875600.0,62748112.0,,,,0.0,3.86713552011777,,28.424
BIH,2004.0,113857146.0,551328569.0,149497765.0,,,,0.0,6.32526794858342,,29.279
BIH,2005.0,171065803.0,918076433.0,212239859.0,,,,0.0,3.89718320544974,,30.218
